Age,Gender,Weight_kg,Height_cm,BMI,Sleep_hrs,Activity_Level,Water_Intake_L,Protein_g,Carbs_g,Fat_g,Fitness_Goal,Calories_kcal,Estimated_Maintenance_Calories,Caloric_Surplus_or_Deficit
46,Male,68.8,178.8,21.53,7.4,Moderate,2.04,83,358,65,Maintenance,2348,2449.775,-101.77500000000008
41,Female,66.3,159.2,26.18,7.8,Sedentary,1.74,80,155,35,Weight Loss,1251,1550.4,-299.39999999999986
45,Female,55.9,163.3,20.94,6.7,Moderate,2.49,89,324,61,Muscle Gain,2205,1850.11875,354.8812499999999
31,Female,69.6,158.4,27.73,7.8,Sedentary,1.89,83,261,51,Maintenance,1837,1644.0,193.0
23,Female,50.9,163.9,18.92,6.1,Sedentary,3.09,81,227,46,Muscle Gain,1643,1508.85,134.1500000000001
57,Female,67.3,164.8,24.76,6.2,Moderate,2.24,81,349,64,Maintenance,2294,1948.35,345.64999999999986
26,Male,81.1,170.3,27.98,6.8,Sedentary,2.19,130,328,68,Muscle Gain,2441,2100.45,340.5500000000002
24,Female,71.3,161.0,27.52,7.5,Sedentary,1.66,86,267,52,Maintenance,1883,1725.9,157.10000000000014
64,Male,83.0,181.8,25.1,7.1,Moderate,2.35,133,454,87,Muscle Gain,3129,2559.4375,569.5625
49,Male,79.2,169.5,27.57,7.7,Moderate,2.68,95,412,75,Maintenance,2702,2497.63125,204.3687500000001
23,Male,72.7,164.6,26.83,6.7,Moderate,2.73,116,405,77,Muscle Gain,2779,2550.9125,228.0875000000001
30,Female,64.8,146.1,30.35,8.9,Sedentary,2.59,78,149,34,Weight Loss,1210,1500.15,-290.14999999999986
29,Female,48.6,161.9,18.55,6.8,Moderate,2.65,58,159,32,Weight Loss,1158,1847.40625,-689.40625
61,Male,55.6,188.8,15.61,7.4,Moderate,2.49,67,195,39,Weight Loss,1396,2225.8,-829.8000000000002
